0,0,0,0,0,0,0,0
1,-28,0,0,0,0,0,1
2,-17,0,0,0,0,1,0
3,-25,0,0,0,0,1,1
4,-19,0,0,0,1,0,0
5,-27,0,0,0,1,0,1
6,-16,0,0,0,1,1,0
7,-4,0,0,0,1,1,1
8,-29,0,0,1,0,0,0
9,-17,0,0,1,0,0,1
10,-6,0,0,1,0,1,0
11,26,0,0,1,0,1,1
12,-28,0,0,1,1,0,0
13,4,0,0,1,1,0,1
14,15,0,0,1,1,1,0
15,67,0,0,1,1,1,1
16,-18,0,1,0,0,0,0
17,-6,0,1,0,0,0,1
18,-15,0,1,0,0,1,0
19,17,0,1,0,0,1,1
20,-17,0,1,0,1,0,0
21,15,0,1,0,1,0,1
22,6,0,1,0,1,1,0
23,58,0,1,0,1,1,1
24,-27,0,1,1,0,0,0
25,25,0,1,1,0,0,1
26,16,0,1,1,0,1,0
27,88,0,1,1,0,1,1
28,-6,0,1,1,1,0,0
29,66,0,1,1,1,0,1
30,57,0,1,1,1,1,0
31,149,0,1,1,1,1,1
32,-17,1,0,0,0,0,0
33,-5,1,0,0,0,0,1
34,-34,1,0,0,0,1,0
35,-2,1,0,0,0,1,1
36,-16,1,0,0,1,0,0
37,16,1,0,0,1,0,1
38,-13,1,0,0,1,1,0
39,39,1,0,0,1,1,1
40,-26,1,0,1,0,0,0
41,26,1,0,1,0,0,1
42,-3,1,0,1,0,1,0
43,69,1,0,1,0,1,1
44,-5,1,0,1,1,0,0
45,67,1,0,1,1,0,1
46,38,1,0,1,1,1,0
47,130,1,0,1,1,1,1
48,-15,1,1,0,0,0,0
49,37,1,1,0,0,0,1
50,-12,1,1,0,0,1,0
51,60,1,1,0,0,1,1
52,6,1,1,0,1,0,0
53,78,1,1,0,1,0,1
54,29,1,1,0,1,1,0
55,121,1,1,0,1,1,1
56,-4,1,1,1,0,0,0
57,88,1,1,1,0,0,1
58,39,1,1,1,0,1,0
59,151,1,1,1,0,1,1
60,37,1,1,1,1,0,0
61,149,1,1,1,1,0,1
62,100,1,1,1,1,1,0
63,232,1,1,1,1,1,1
